Date,Time,Open,High,Low,Close,Volume
2019.03.29,00:00,7325.80000,7350.40000,7322.80000,7332.10000,13539
2019.03.29,04:00,7332.30000,7351.00000,7329.90000,7342.90000,10776
2019.03.29,08:00,7342.90000,7354.90000,7336.80000,7340.40000,17451
2019.03.29,12:00,7340.40000,7377.20000,7330.80000,7354.80000,30281
2019.03.29,16:00,7355.90000,7372.20000,7329.40000,7358.50000,46784
2019.03.29,20:00,7358.20000,7380.00000,7356.70000,7374.50000,16701
2019.04.01,00:00,7401.80000,7446.50000,7401.80000,7439.30000,10681
2019.04.01,04:00,7438.90000,7461.50000,7437.70000,7448.80000,13647
2019.04.01,08:00,7448.50000,7461.60000,7443.50000,7456.10000,17183
2019.04.01,12:00,7456.00000,7458.10000,7434.80000,7440.10000,19228
2019.04.01,16:00,7440.20000,7465.20000,7419.30000,7464.90000,50939
2019.04.01,20:00,7465.20000,7480.40000,7456.60000,7474.90000,20637
2019.04.02,00:00,7466.00000,7480.00000,7465.00000,7472.30000,6333
2019.04.02,04:00,7472.30000,7475.00000,7457.50000,7461.10000,10038
2019.04.02,08:00,7461.10000,7468.30000,7459.00000,7465.80000,13751
2019.04.02,12:00,7465.60000,7485.60000,7464.00000,7479.50000,13498
2019.04.02,16:00,7479.50000,7491.00000,7460.20000,7484.90000,44387
2019.04.02,20:00,7485.10000,7506.40000,7480.10000,7498.90000,17788
2019.04.03,00:00,7490.20000,7528.90000,7487.30000,7523.60000,7703
2019.04.03,04:00,7523.60000,7542.10000,7511.80000,7536.40000,13164
2019.04.03,08:00,7536.20000,7550.80000,7532.50000,7542.80000,17436
2019.04.03,12:00,7543.00000,7549.80000,7532.80000,7541.50000,15144
2019.04.03,16:00,7541.30000,7590.40000,7527.90000,7573.50000,44754
2019.04.03,20:00,7573.30000,7577.00000,7520.00000,7543.80000,30999
2019.04.04,00:00,7553.10000,7559.50000,7545.60000,7556.60000,6252
2019.04.04,04:00,7556.60000,7567.10000,7541.60000,7546.00000,11962
2019.04.04,08:00,7546.10000,7548.50000,7531.90000,7538.60000,17116
2019.04.04,12:00,7538.60000,7554.60000,7536.40000,7544.40000,14937
